nutrients,전체 평균,전체 표준오차,1-2 평균,1-2 표준오차,3-5 평균,3-5 표준오차,6-11 평균,6-11 표준오차,12-18 평균,12-18 표준오차,19-29 평균,19-29 표준오차,30-49 평균,30-49 표준오차,50-64 평균,50-64 표준오차,≥ 65 평균,≥ 65 표준오차
에너지(kcal),1594.14,15.2,1109.2,50.88,1237.12,38.22,1641.99,31.79,1829.8,57.81,1737.49,40.78,1676.86,29.88,1586.03,24.36,1329.87,19.74
단백질(g),58.75,0.7,39.07,2.01,43.61,1.84,58.76,1.57,65.96,1.99,66.96,2.38,64.37,1.25,57.6,1.03,44.95,0.95
지방(g),40.07,0.63,33.27,2.49,33.71,1.78,45.67,1.69,53.16,2.43,51.88,1.92,44.67,0.99,35.78,1.02,23.3,0.76
탄수화물(g),242.08,2.31,162.34,6.93,188.44,5.05,246.51,4.96,268.35,9.05,238.47,5.74,240.82,4.97,254.1,3.91,232.62,3.57
당(g),57.66,1.07,50.94,3.08,51.5,2.89,62.48,2.2,70.92,4.33,62.25,1.97,57.35,2.25,60.96,1.6,44.7,1.53
칼슘(mg),455.99,5.99,523.18,31.4,405.55,22.67,484.56,15.54,462.11,17.55,443.37,15.87,459.37,9.31,493.45,12.77,397.56,11.23
인(mg),889.5,9.6,709.19,37.82,681.12,25.81,887.22,19.55,922.72,25.99,918.96,27.63,948.93,18.12,923.3,16.28,746.31,14.69
철(mg),9.73,0.13,5.63,0.42,6.67,0.41,8.67,0.31,9.7,0.34,9.7,0.31,10.18,0.25,10.7,0.25,8.74,0.17
나트륨(mg),2689.2,30.81,1189.21,91.7,1541.23,78.15,2132.3,74.95,2843.91,110.02,2813.78,81.36,2993.13,65.77,2765.63,62.37,2351.95,61.42
칼륨(mg),2391.94,35.27,1518.25,71.88,1587.14,56.84,1998.9,47.85,2130.67,72.17,2172.76,59.98,2556.37,87.89,2719.45,52.04,2228.5,50.98
비타민A(μgRAE),341.4,6.72,307.69,19.76,284.46,20.17,340.16,15.2,317.08,15.59,321.05,14.35,361.12,9.65,371.21,10.53,301.75,24.67
티아민(mg),1.1,0.01,0.69,0.03,0.78,0.03,1.06,0.03,1.18,0.04,1.11,0.04,1.15,0.02,1.15,0.02,0.96,0.02
리보플라빈(mg),1.4,0.01,1.11,0.06,1.1,0.05,1.42,0.04,1.61,0.05,1.55,0.05,1.54,0.03,1.4,0.03,1.01,0.02
엽산(μgDFE),277.4,3.38,160.98,9.44,182.9,8.43,229.76,7.45,233.3,8.52,239.14,8.39,285.54,6.4,332.53,7.05,271.0,6.16
나이아신(mg),10.54,0.13,6.06,0.31,7.13,0.36,9.71,0.31,10.65,0.36,11.64,0.47,11.8,0.22,10.57,0.18,8.47,0.2
비타민C(mg),66.02,1.81,53.66,5.84,54.99,5.25,64.39,4.8,65.73,6.68,54.08,3.39,69.84,4.08,75.56,3.04,58.7,3.25
동물성단백질비(%),48.31,0.44,63.88,1.51,56.33,1.64,56.27,1.34,54.9,1.39,55.7,1.29,52.7,0.65,43.7,0.71,33.83,0.85
지방급원에너지비(%),21.94,0.2,26.67,1.08,23.85,0.71,24.57,0.6,25.33,0.64,26.43,0.6,23.96,0.29,19.71,0.33,15.17,0.35
